Provider Code,Provider Name,Provider Parent Code,Provider Parent Name
NPR01,ABOUT HEALTH HQ,QSL,NHS SOMERSET INTEGRATED CARE BOARD
S0L9O,ACES BIRMINGHAM,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
D1V5N,ACES BOLTON,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
E6F9I,ACES BRADFORD,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
T1T4S,ACES BRISTOL,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
H3W7Q,ACES CHELMSFORD,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
U6A5N,ACES CHISWICK,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
Z4F8Y,ACES DARTFORD,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
N1M9Z,ACES EXETER,QJK,NHS DEVON INTEGRATED CARE BOARD
F2C9F,ACES HARLEY STREET,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
X7M7U,ACES LAKESIDE,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
X0R3Y,ACES LEEDS KING STREET,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
P1G3N,ACES LEEDS WHITE ROSE,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
T1I9W,ACES LINCOLN,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD
D2L5T,ACES LIVERPOOL,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
X1M4L,ACES MAIDSTONE,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
W7J4C,ACES MANCHESTER,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
N1L8R,ACES MANCHESTER ST JOHNS STREET,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
S8O6A,ACES MANCHESTER TRAFFORD,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
U1P4Z,ACES MILTON KEYNES,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD"
I7G8X,ACES NEWCASTLE,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
A4Y8X,ACES NOTTINGHAM,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
O1B1P,ACES PLYMOUTH,QJK,NHS DEVON INTEGRATED CARE BOARD
Q4W9A,ACES SOUTHAMPTON,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
Y7W8F,ACES SOUTHAMPTON - EAST ST,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
N8Z8E,ACES TORQUAY,QJK,NHS DEVON INTEGRATED CARE BOARD
A9P5F,ACES WHITE CITY,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
X7Y2H,ACES WILMSLOW,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
RCF,AIREDALE NHS FOUNDATION TRUST,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
NT401,ALEXANDRA HOSPITAL,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
F7B2B,ANGLIA COMMUNITY EYE SERVICE - BURY ST EDMUNDS,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD
H7X1I,ANGLIA COMMUNITY EYE SERVICE - CAMBRIDGE,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
K7J9E,ANGLIA COMMUNITY EYE SERVICE - NORWICH,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD
O9Q4E,ANGLIA COMMUNITY EYE SERVICE - PETERBOROUGH,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
NX507,ANGLIA COMMUNITY EYE SERVICE - THETFORD HEALTHY LIVING CENTRE,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD
NX5,ANGLIA COMMUNITY EYE SERVICE LTD,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
NX501,ANGLIA COMMUNITY EYE SERVICE LTD,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
NX504,ANGLIA COMMUNITY EYE SERVICES FAKENHAM,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
NVC01,ASHTEAD HOSPITAL,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
NYW17,ASPEN HEALTHCARE - MIDLAND EYE,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
R1H,BARTS HEALTH NHS TRUST,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
NT402,BATH CLINIC,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
NRP,BEACON MEDICAL SERVICES GROUP LIMITED,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
NVC0I,BEACON PARK HOSPITAL,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD
NT403,BEARDWOOD HOSPITAL,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
NT404,BEAUMONT HOSPITAL,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD"
NWF01,BENENDEN HOSPITAL,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD
NP9,BESPOKE HEALTHCARE LTD,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
NT405,BISHOPS WOOD HOSPITAL,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
NT406,BLACKHEATH HOSPITAL,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
NVC31,BLAKELANDS HOSPITAL,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD"
RMC,BOLTON NHS FOUNDATION TRUST,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
R5J3Z,BORDER HEALTH ALLIANCE LIMITED,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
NVC27,BOSTON WEST HOSPITAL,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD
TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
A4M8P,BUCKSHAW HOSPITAL,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
NL3,CARE PLUS GROUP,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
NT451,CAVELL HOSPITAL,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
U0K8N,CES MEDICAL,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
NT408,CHAUCER HOSPITAL,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
NT409,CHELSFIELD PARK HOSPITAL,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD
NT410,CHILTERN HOSPITAL,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
F9Z4V,CIRCLE READING HOSPITAL,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
B3M1X,CLAREMONT PRIVATE HOSPITAL,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
NT411,CLEMENTINE CHURCHILL HOSPITAL,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
NVC28,CLIFTON PARK HOSPITAL,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
NVC29,COBALT HOSPITAL,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
NWV01,COHESE HEALTHCARE,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
NLG,COMMUNITAS CLINICS,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
AAV,COMMUNITY HEALTH AND EYECARE LIMITED,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
NMG,CONNECT HEALTH LIMITED,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
NYR,CORA HEALTH DIAGNOSTICS (FORMERLY HEALTHSHARE DIAGNOSTICS),QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
NMG,CORA HEALTH MSK (FORMERLY CONNECT HEALTH LTD),QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD
DFY01,COTSWOLDS SURGICAL PARTNERS,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
RJ6,CROYDON HEALTH SERVICES NHS TRUST,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
RN7,DARTFORD AND GRAVESHAM NHS TRUST,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
NVL,DMC DERMATOLOGY,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
NCN,DMC HEALTHCARE,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
NNE,DORKING HEALTHCARE LIMITED (DHC),QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,QVV,NHS DORSET INTEGRATED CARE BOARD
NT412,DROITWICH SPA HOSPITAL,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
NT447,DUCHY HOSPITAL,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
NVC04,DUCHY HOSPITAL,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
RJN,EAST CHESHIRE NHS TRUST,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
