Date,Provider Parent Code,Provider Parent Name,Provider Code,Provider Name,Waiting List,Unknown Clock Start,Waits Over 18 Weeks,Waits Over 52 Weeks,Waits Over 65 Weeks,Waits Over 78 Weeks,Waits Over 104 Weeks
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,A4M8P,BUCKSHAW HOSPITAL,3830,0,1320,145,18,0,0
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,AAV,COMMUNITY HEALTH AND EYECARE LIMITED,3425,0,28,0,0,0,0
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,C3Y0A,SPAMEDICA BLACKPOOL,106,0,0,0,0,0,0
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NPG13,SPAMEDICA SKELMERSDALE,82,0,0,0,0,0,0
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NPG17,SPAMEDICA PRESTON,187,0,1,0,0,0,0
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NT347,SPIRE FYLDE COAST HOSPITAL,2565,0,502,14,1,1,0
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NT403,BEARDWOOD HOSPITAL,2097,0,259,0,0,0,0
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NT449,LANCASTER HOSPITAL,332,0,36,0,0,0,0
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NVC05,EUXTON HALL HOSPITAL,2572,0,680,61,12,0,0
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NVC07,FULWOOD HALL HOSPITAL,5241,0,1705,93,6,1,0
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NVC16,RENACRES HOSPITAL,3473,0,502,0,0,0,0
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,R1G7E,SPAMEDICA KENDAL,122,0,1,0,0,0,0
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,32410,0,9101,460,4,0,0
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,1166,0,85,0,0,0,0
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,34134,0,15270,1347,102,7,0
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,59036,0,26373,2823,328,5,0
2024-04-01,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,72850,0,35545,3788,207,0,0
2024-04-01,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,B3M1X,CLAREMONT PRIVATE HOSPITAL,2040,0,603,4,1,0,0
2024-04-01,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NEY,PIONEER HEALTHCARE LIMITED,4154,0,2186,231,131,64,22
2024-04-01,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NPG10,SPAMEDICA SHEFFIELD,146,0,1,0,0,0,0
2024-04-01,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NT440,THORNBURY HOSPITAL,487,0,105,1,0,0,0
2024-04-01,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NTX,THE ONE HEALTH GROUP PLC,3270,0,605,13,2,0,0
2024-04-01,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NVC14,PARK HILL HOSPITAL,1094,0,483,25,1,0,0
2024-04-01,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,13558,0,4892,381,52,2,0
2024-04-01,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22137,0,6338,166,14,0,0
2024-04-01,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,31176,0,12454,755,32,3,0
2024-04-01,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,93990,0,35894,2903,387,13,0
2024-04-01,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,55375,0,21919,1457,65,4,0
2024-04-01,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,T8V3L,SPAMEDICA DONCASTER,179,0,0,0,0,0,0
2024-04-01,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,ACG31,NEWMEDICA - WORCESTER,967,0,16,0,0,0,0
2024-04-01,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,J3X4C,SPAMEDICA WORCESTER,11,0,0,0,0,0,0
2024-04-01,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NT219,"NUFFIELD HEALTH, HEREFORD HOSPITAL",242,0,71,0,0,0,0
2024-04-01,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NT301,SPIRE SOUTH BANK HOSPITAL,1045,0,499,12,1,0,0
2024-04-01,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NT412,DROITWICH SPA HOSPITAL,1305,0,349,6,0,0,0
2024-04-01,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,53,0,0,0,0,0,0
2024-04-01,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,RLQ,WYE VALLEY NHS TRUST,28130,0,12817,1171,137,6,1
2024-04-01,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,61740,0,27918,2204,472,13,0
2024-04-01,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,NPG16,SPAMEDICA CHELMSFORD,905,0,17,0,0,0,0
2024-04-01,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,NT204,"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",825,0,158,48,44,11,0
2024-04-01,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,NT313,SPIRE WELLESLEY HOSPITAL,1698,0,714,39,1,0,0
