Geography Code,Geography Name,Specialty Code,Specialty Name,Waiting List,Within 18 Weeks,Within 18 Weeks Rate,Median Wait Weeks,92nd Percentile Wait Weeks,Waits Over 52 Weeks,Waits Over 78 Weeks,Waits Over 65 Weeks,Date,Geography Type,Over 52 Weeks Rate,Region Key
-,NHS ENGLAND,C_999,Total,160461,95516,0.595259907391827,13.5246913580247,44.3165641952984,6220,180,859,2024-04-01,Region,,Region|-
Y56,LONDON COMMISSIONING REGION,C_999,Total,1209784,723915,0.598383678408708,13.3854026795572,42.7298790864308,38939,1201,8044,2024-04-01,Region,,Region|Y56
Y58,SOUTH WEST COMMISSIONING REGION,C_999,Total,653118,403700,0.618111887897746,12.6164499418543,44.1055269548325,25682,570,4621,2024-04-01,Region,,Region|Y58
Y59,SOUTH EAST COMMISSIONING REGION,C_999,Total,1128443,651037,0.57693388146322,14.1408913784705,45.7803312850655,52583,1447,10877,2024-04-01,Region,,Region|Y59
Y60,MIDLANDS COMMISSIONING REGION,C_999,Total,1432162,796538,0.556178700454278,14.9527390508379,45.0315697949154,55421,226,7153,2024-04-01,Region,,Region|Y60
Y61,EAST OF ENGLAND COMMISSIONING REGION,C_999,Total,920853,502540,0.545733140903054,15.349325372573,47.8782518796992,51428,1042,10515,2024-04-01,Region,,Region|Y61
Y62,NORTH WEST COMMISSIONING REGION,C_999,Total,1064606,586622,0.551022631846899,15.0744439951476,46.7985417408859,50252,257,5844,2024-04-01,Region,,Region|Y62
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,C_999,Total,1000944,649080,0.648467846353043,11.8028661081099,40.0640223463687,22064,90,2484,2024-04-01,Region,,Region|Y63
-,NHS ENGLAND,C_999,Total,160461,95516,0.595259907391827,13.5246913580247,44.3165641952984,6220,180,859,2024-04-01,ICB,,ICB|-
QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,C_999,Total,242156,141486,0.584276251672476,13.8891695610988,45.2994351585015,9448,21,786,2024-04-01,ICB,,ICB|QE1
QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,C_999,Total,192221,121385,0.631486674192726,12.1656034024455,41.3899040590406,4607,21,425,2024-04-01,ICB,,ICB|QF7
QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,C_999,Total,100928,56232,0.557149651236525,14.8398285268901,43.7931541725601,3738,21,617,2024-04-01,ICB,,ICB|QGH
QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,C_999,Total,187612,102650,0.547139841801164,15.5114064230343,46.8765258964143,9575,122,1739,2024-04-01,ICB,,ICB|QH8
QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",C_999,Total,144182,72835,0.505160144816968,17.578231292517,49.9560729800174,9550,93,1716,2024-04-01,ICB,,ICB|QHG
QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,C_999,Total,196588,102860,0.523226239648402,16.4467044284243,46.1671161473088,7902,11,320,2024-04-01,ICB,,ICB|QHL
QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,C_999,Total,355924,243607,0.68443544127398,11.0012387480386,37.3274845542807,6106,15,850,2024-04-01,ICB,,ICB|QHM
QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,C_999,Total,125014,70107,0.56079319116259,14.6222293607453,46.1353464322647,5705,28,1057,2024-04-01,ICB,,ICB|QJ2
QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,C_999,Total,129069,74305,0.575699819476404,14.0346638655462,45.5228865979382,5835,103,1078,2024-04-01,ICB,,ICB|QJG
QJK,NHS DEVON INTEGRATED CARE BOARD,C_999,Total,151824,88304,0.58162082411213,13.7861850777748,45.8020492610838,7222,321,1844,2024-04-01,ICB,,ICB|QJK
QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,C_999,Total,114929,60602,0.527299463146812,16.1666666666667,46.5998671096346,5229,21,601,2024-04-01,ICB,,ICB|QJM
QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",C_999,Total,126007,72778,0.577571087320546,14.2240084134615,41.8098139534884,3167,20,317,2024-04-01,ICB,,ICB|QK1
QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,C_999,Total,262712,150070,0.571233898717988,14.2389754038713,44.968572810837,10685,160,1913,2024-04-01,ICB,,ICB|QKK
QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,C_999,Total,241207,145261,0.602225474385072,13.2366348629411,44.5186178299931,10838,579,2976,2024-04-01,ICB,,ICB|QKS
QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,C_999,Total,196551,111329,0.566412788538344,14.4721643035863,46.4088296296296,9156,132,1592,2024-04-01,ICB,,ICB|QM7
QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,C_999,Total,252901,152793,0.604161312133997,13.1328520392974,43.0986633966892,8968,219,1937,2024-04-01,ICB,,ICB|QMF
QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,C_999,Total,187951,116131,0.617879128070614,12.6075186693822,42.1401752988048,6029,88,1325,2024-04-01,ICB,,ICB|QMJ
QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,C_999,Total,146026,76832,0.526152876884938,16.1558963125228,50.5720777891505,10500,537,3104,2024-04-01,ICB,,ICB|QMM
QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,C_999,Total,162596,90823,0.558580776894881,14.681240840254,45.5583841714757,7169,46,1125,2024-04-01,ICB,,ICB|QNC
QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,C_999,Total,85474,43509,0.509031986335026,17.2541062801932,48.3626586102719,4464,35,397,2024-04-01,ICB,,ICB|QNQ
QNX,NHS SUSSEX INTEGRATED CARE BOARD,C_999,Total,281686,146419,0.519795090987838,16.513010480665,50.2294097807757,19831,522,4779,2024-04-01,ICB,,ICB|QNX
QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",C_999,Total,77112,40027,0.51907614897811,16.8184488836663,49.0554325259516,4581,5,934,2024-04-01,ICB,,ICB|QOC
QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,C_999,Total,455110,235854,0.518235151941289,16.5288858321871,48.893935483871,26208,92,2734,2024-04-01,ICB,,ICB|QOP
QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,C_999,Total,206739,125326,0.606203957647082,13.1895881209121,42.2666750156544,5356,20,354,2024-04-01,ICB,,ICB|QOQ
QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",C_999,Total,103501,62102,0.600013526439358,13.4895798319328,43.6188720770289,3458,19,350,2024-04-01,ICB,,ICB|QOX
QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,C_999,Total,88988,55163,0.61989256978469,12.544094488189,42.1805373134328,2659,13,435,2024-04-01,ICB,,ICB|QPM
QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,C_999,Total,79595,53515,0.672341227464037,11.2725483178239,42.4528395061729,2869,10,402,2024-04-01,ICB,,ICB|QR1
QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,C_999,Total,197580,116919,0.591755238384452,13.5329968944099,44.7079632465544,7975,155,1239,2024-04-01,ICB,,ICB|QRL
